Name,Participations,Awards,Bronze,Gold,No medal,Silver
Livien Ven,1,1,0,0,1,0
Livin Lerno,2,2,0,1,1,0
Livingstone Alleyne,2,2,0,0,2,0
Livio Berruti,6,6,0,1,5,0
Livio Francecchini,1,1,0,0,1,0
Livio Franceschini,1,1,0,0,1,0
Livio Isotti,2,2,0,0,2,0
Livio Padula,1,1,0,0,1,0
Livio Spanghero,1,1,0,0,1,0
Livio Tesconi,1,1,0,0,1,0
Livio Trap,2,2,0,1,0,1
Liviu Naghy,1,1,0,0,1,0
Liviu Rducanu,2,2,0,0,2,0
Liviu Totolici,1,1,0,0,1,0
Liviu-Alexandru Dumitrescu-lazar,1,1,0,0,1,0
Livn Azcuy,2,2,1,0,1,0
Livn Rodrguez,1,1,0,0,1,0
Liwei Fei,4,4,0,0,4,0
Liwei Yang,2,2,0,0,2,0
Liya Nurkina,1,1,0,0,1,0
Liyan Yu,1,1,0,0,1,0
Liying Yuan,3,3,0,0,3,0
Liz Akama,1,1,0,0,0,1
Liz Clay,2,2,0,0,2,0
Liz Filter,1,1,0,0,1,0
Liz Thompson,1,1,0,0,1,0
Liza Hunter-galvan,2,2,0,0,2,0
Liza Pusztai,4,4,0,0,4,0
Lizanne (-chafe),2,2,0,0,2,0
Lizanne Murphy,2,2,0,0,2,0
Lizbeth Canseco,1,1,0,0,1,0
Lize Broekx,4,4,0,0,4,0
Lize Kop,1,1,0,0,1,0
Lize-Mari Retief,4,4,0,0,4,0
Lizel Moore,1,1,0,0,1,0
Lizeth Rueda,1,1,0,0,1,0
Lizeth Santos,1,1,0,0,1,0
Lizzalled Bueso,1,1,0,0,1,0
Lizzie Armanto,1,1,0,0,1,0
Lizzie Roussel,1,1,0,0,1,0
Lizzy Holden,1,1,0,0,1,0
Ljiljana (-vuevi),2,2,0,1,1,0
Ljiljana Markovi,1,1,0,0,1,0
Ljubia Orevi,1,1,0,0,1,0
Ljubia Simi,2,2,0,0,2,0
Ljubia Spaji,1,1,0,0,0,1
Ljubica (-demidov),1,1,0,0,1,0
Ljubica Gabric-calvesi,2,2,0,0,2,0
Ljubica Nenezic,1,1,0,0,1,0
Ljubinka (erdevicki-),2,2,0,1,1,0
Ljubinko Veselinovi,1,1,0,0,1,0
Ljubo Vuki,1,1,0,0,1,0
Ljubodrag Simonovi,1,1,0,0,1,0
Ljubomir Fejsa,1,1,0,0,1,0
Ljubomir Lovri,1,1,0,0,0,1
Ljubomir Radanovi,1,1,1,0,0,0
Ljubomir Travica,1,1,0,0,1,0
Ljubomir Vranjes,1,1,0,0,0,1
Ljudmila (-rudoll-),2,2,0,0,2,0
Lkhagvaagiin Undralbat,2,2,0,0,2,0
Lkhagvagerel Munkhtur,2,2,0,0,2,0
Lkhagvasrengiin Otgonbaatar,1,1,0,0,1,0
Lkhagvasuren Enkhbat,1,1,0,0,1,0
Lkhamaasrengiin Badamsren,1,1,0,0,1,0
Lkhamjavyn Dekhlee,1,1,0,0,1,0
Llewellyn Evans,1,1,1,0,0,0
Llewellyn Herbert,4,4,1,0,3,0
Llewelyn Iii,1,1,0,0,1,0
Lleyton Hewitt,5,5,0,0,5,0
Llijon Len,1,1,0,0,1,0
Llorenc Piera,1,1,0,0,1,0
Lloy Ball,4,4,0,1,3,0
Lloyd Appleton,1,1,0,0,0,1
Lloyd Binch,1,1,0,0,1,0
Lloyd Bourgeois,1,1,0,0,1,0
Lloyd Boyd,1,1,0,0,1,0
Lloyd Butler,1,1,0,1,0,0
Lloyd Evans,1,1,0,0,1,0
Lloyd Guss,1,1,0,0,1,0
Lloyd Hahn,3,3,0,0,3,0
Lloyd Hildebrand,2,2,0,0,1,1
Lloyd Jones,1,1,0,0,1,0
Lloyd Keaser,1,1,0,0,0,1
Lloyd Kelsey,1,1,0,0,1,0
Lloyd Koch,1,1,0,0,1,0
Lloyd Labeach,2,2,2,0,0,0
Lloyd Madsen,1,1,0,0,1,0
Lloyd Monsen,2,2,0,0,2,0
Lloyd Montour,1,1,0,0,1,0
Lloyd Murad,5,5,0,0,5,0
Lloyd Norris-jones,1,1,0,0,1,0
Lloyd Rice,1,1,0,0,1,0
Lloyd Spooner,13,13,2,4,6,1
Lloyd Valberg,1,1,0,0,1,0
Lloyd Zvasiya,1,1,0,0,1,0
Lloydricia Cameron,2,2,0,0,2,0
Lluis Pons,1,1,0,0,1,0
Lluis Prez,2,2,0,0,2,0
Lm Honh,1,1,0,0,1,0
Lm Vn,1,1,0,0,1,0
Lna Mze,1,1,0,0,1,0
Lng Thin,1,1,0,0,1,0
Lo Chao-cheng,1,1,0,0,1,0
Lo Chen-jung,1,1,0,0,0,1
Lo Chia-jen,1,1,0,0,1,0
Lo Hsiao-ting,1,1,0,0,1,0
Lo Kuen,1,1,0,0,1,0
Lo Kuo-chung,1,1,0,0,0,1
Lo Kuo-hui,1,1,0,0,1,0
Lo Kwok-tai,1,1,0,0,1,0
Lo Ok-sil,6,6,0,0,6,0
Lo Rocco,1,1,0,0,1,0
Lo Rooman,1,1,0,0,1,0
Lo Tong,1,1,0,0,1,0
Lo Tsung,5,5,0,0,5,0
Lo Wai,1,1,0,0,1,0
Lo Yan,1,1,0,0,1,0
Lo Yi,1,1,0,0,1,0
Lo Yu-wei,1,1,0,0,1,0
Loan His,2,2,0,0,2,0
Loana Lecomte,2,2,0,0,2,0
Loane Russet,1,1,0,0,1,0
Lobke Berkhout,3,3,1,0,1,1
Loc Amisse,1,1,0,0,1,0
Loc Attely,2,2,0,0,2,0
Loc Kergret,1,1,0,0,1,0
Loc Pietri,1,1,0,0,1,0
Loc Vandeweghe,1,1,0,0,1,0
Lochsley Thomson,1,1,0,0,1,0
Lock Luypaert,1,1,0,0,0,1
Lockoneco,1,1,0,0,1,0
Lockwood Pirie,1,1,1,0,0,0
"Lockwood, Co.",6,6,0,0,6,0
Lode Wouters,2,2,1,1,0,0
Lodew Bosscke,1,1,0,0,1,0
Lodewijk Clerck,2,2,0,0,2,0
Lodewijk Harmeling,1,1,0,0,1,0
Lodewijk Jacobs,2,2,0,0,2,0
Lodewijk Wyns,1,1,0,0,1,0
Lodoin Enkhbayar,2,2,0,0,2,0
Lodovico Espinosa,2,2,0,0,2,0
Lodovico Nava,2,2,0,0,2,0
Lodovico Nulli,1,1,0,0,1,0
Lodovico Sommaruga,1,1,0,0,1,0
Loedmila Arzjannikova,5,5,1,0,4,0
Loes Geurts,1,1,0,0,1,0
Loes Gunnewijk,1,1,0,0,1,0
Logan Bailly,1,1,0,0,1,0
Logan Campbell,2,2,0,0,2,0
Logan Cunningham,1,1,0,0,1,0
Logan Dooley,1,1,0,0,1,0
Logan Fontaine,1,1,0,0,1,0
Logan Martin,2,2,0,1,1,0
Logan Patterson,1,1,0,0,1,0
Logan Tom,4,4,0,0,2,2
Logan Ullrich,1,1,0,0,0,1
Logi Geirsson,1,1,0,0,0,1
Logi Kristjnsson,1,1,0,0,1,0
Login Elsasyed,1,1,0,0,1,0
Logona Esau,1,1,0,0,1,0
Loh Chee,1,1,0,0,1,0
Loh Heng,2,2,0,0,2,0
Lohaynny Vicente,1,1,0,0,1,0
Lohner,1,1,0,0,1,0
Loi Faaeteete,1,1,0,0,1,0
Loic Bade,1,1,0,0,0,1
Loic Gasch,1,1,0,0,1,0
Loic Gautier,1,1,0,0,1,0
Loic Leonard,1,1,0,0,1,0
Loic Prevot,1,1,0,0,1,0
Loick Luypaert,1,1,0,0,1,0
Lois (-green),1,1,0,0,1,0
Lois (-lax),1,1,0,0,1,0
Lois (-lynch),1,1,0,0,1,0
Lois (-thompson),1,1,0,0,1,0
Lois Abbingh,3,3,0,0,3,0
Lois Betteridge,3,3,0,0,3,0
Lois Gibson,2,2,1,0,1,0
Lois Gonzlez,2,2,0,0,2,0
Lois Stephens,2,2,0,0,2,0
Lois Szymczak,1,1,0,0,1,0
Lois Toulson,5,5,1,0,4,0
Lojas Tollas,1,1,0,0,1,0
Lojine Abdalla,1,1,0,0,1,0
Lok Hoi,1,1,0,0,1,0
Lokayo Ejore,1,1,0,0,1,0
Lokinyomo Lobalu,1,1,0,0,1,0
Lokure Nakang,1,1,0,0,1,0
Lola Anderson,1,1,0,1,0,0
Lola Danhaive,1,1,0,0,1,0
Lola Moolhuijzen,1,1,1,0,0,0
Lola Riera,2,2,0,0,2,0
Lola Tambling,1,1,0,0,1,0
Lola Zuzuarregui,1,1,0,0,1,0
Lolassonn Djouhan,2,2,0,0,2,0
Lolita Ananasova,2,2,0,0,2,0
Lolita Lagrosas,3,3,0,0,3,0
Lolohea Navuga,1,1,0,0,1,0
Lolsio Tuita,1,1,0,0,1,0
Lomano Lemeki,1,1,0,0,1,0
Lomi Muleta,2,2,0,0,2,0
Lon (-freddy),2,2,0,0,2,0
Lon (utterwulghe-),2,2,1,0,0,1
Lon Beaugendre,1,1,0,0,1,0
Lon Binoche,1,1,0,1,0,0
Lon Bogart,1,1,0,0,1,0
Lon Bon,2,2,0,0,1,1
Lon Broers,1,1,0,0,1,0
Lon Bronckaert,1,1,1,0,0,0
Lon Buck,3,3,0,0,3,0
Lon Charlier,2,2,0,0,2,0
Lon Coeckelberg,3,3,0,0,3,0
Lon Coster,1,1,0,0,1,0
Lon Courtejaire,1,1,0,0,1,0
Lon Darrien,1,1,1,0,0,0
Lon Delignires,1,1,0,0,0,1
Lon Delsarte,10,10,1,0,8,1
Lon Derruau,1,1,0,0,1,0
Lon Deslinires,1,1,0,0,1,0
Lon Dupont,6,6,0,0,5,1
Lon Flament,1,1,1,0,0,0
Lon Fourneau,2,2,0,0,2,0
Lon Hecht,2,2,0,0,2,0
Lon Huybrechts,5,5,0,1,2,2
Lon Johnson,20,20,1,0,17,2
Lon Jr.,1,1,0,0,1,0
Lon Klares,1,1,0,0,1,0
Lon Lampo,1,1,0,0,1,0
Lon Lcuyer,3,3,1,0,2,0
Lon Letsch,1,1,0,0,1,0
Lon Lippens,1,1,0,0,1,0
Lon Mart,1,1,0,0,1,0
Lon Metzler,1,1,0,0,1,0
Lon Moreaux,21,21,3,2,14,2
Lon Noor,1,1,0,0,1,0
Lon Nossent,2,2,0,0,2,0
Lon Paillard,1,1,0,0,1,0
Lon Pesch,1,1,0,0,1,0
Lon Pickers,2,2,0,0,2,0
Lon Pottier,1,1,0,0,1,0
Lon Rigon,2,2,0,0,2,0
Lon Roller,1,1,0,0,1,0
Lon Roth,2,2,0,0,2,0
Lon Se,2,2,2,0,0,0
Lon Spartz,1,1,0,0,1,0
Lon Stern,2,2,0,1,1,0
Lon Syrovatski,2,2,0,0,2,0
Lon Tallon,1,1,0,0,1,0
Lon Tellier,3,3,1,0,2,0
Lon Thibaut,3,3,0,0,2,1
Lon Thircelin,2,2,0,0,2,0
Lon Thome,1,1,0,0,0,1
Lon Tom,13,13,0,0,11,2
Lon Ttart,6,6,0,0,6,0
Lon Vandeputte,1,1,0,0,1,0
Lon Vleurinck,1,1,0,0,1,0
Lon Yombe,1,1,0,0,1,0
Lonah Chemtai,1,1,0,0,1,0
Lonard Dutz,1,1,0,0,1,0
Lonard Mascaux,2,2,0,0,2,0
Lonard Nuytens,1,1,0,0,1,0
Lonc Oleffe,2,2,0,0,2,0
Lonce Deprez,1,1,0,0,1,0
Lonce Quentin,4,4,1,0,0,3
Lone (-natorp),1,1,0,0,1,0
Lone (pedersen-),1,1,0,0,1,0
Lone Jrgensen,4,4,0,0,4,0
Lones Jr.,5,5,0,2,2,1
Long Chen,1,1,0,0,0,1
Long Cheng,2,2,0,0,2,0
Long Cheung,3,3,0,2,1,0
Long Feng,1,1,0,0,1,0
Long Fengyu,1,1,0,0,1,0
Long Ma,3,3,0,3,0,0
Long Ng,1,1,0,0,1,0
Long Qingquan,2,2,0,2,0,0
Long Yan,1,1,0,0,1,0
Longchamp,1,1,0,0,1,0
Lonneke Sletjes,1,1,0,0,1,0
Lonnie Spurrier,1,1,0,0,1,0
Lonore Perrus,4,4,0,0,4,0
Lontine Stevens,2,2,0,0,2,0
Lontine Tsiba,2,2,0,0,2,0
Loo Hor-kuay,1,1,0,0,1,0
Loo Zee,1,1,0,0,1,0
Looi Teik,1,1,0,0,1,0
Loong Pyu,1,1,0,0,1,0
Lopesi Faagu,1,1,0,0,1,0
Lopeti Uhi,1,1,0,0,1,0
Lopez Lomong,2,2,0,0,2,0
Lopold Bvire,6,6,0,0,6,0
Lopold Chosal,1,1,0,0,1,0
Lopold Clabots,1,1,1,0,0,0
Lopold Desmet,7,7,0,0,7,0
Lopold Hauben,1,1,0,0,1,0
Lopold Hounkanrin,1,1,0,0,1,0
Lopold Marien,2,2,0,0,2,0
Lopold Montagnier,1,1,0,0,1,0
Lopold Son,1,1,1,0,0,0
Lopold Standaert,2,2,1,0,1,0
Lopp,1,1,0,0,1,0
Loraine Melien,3,3,1,0,2,0
Lorang Christiansen,4,4,0,0,4,0
Lore Bruggeman,1,1,0,0,1,0
Lore Hoffmann,1,1,0,0,1,0
Lorea Ibarzabal,1,1,0,0,1,0
Loredana (iordchioiu-),2,2,0,1,1,0
Loredana Auletta,1,1,0,0,1,0
Loredana Boboc,6,6,0,1,5,0
Loredana Zisu,4,4,0,0,4,0
Loredana Zugna,1,1,0,0,1,0
Loree Smith,1,1,0,0,1,0
Loreen Hall,1,1,0,0,1,0
Loren Cabello,1,1,0,0,1,0
Loren Fatovic,2,2,0,0,1,1
Loren Murchison,5,5,0,2,3,0
Loren Wulfsohn,2,2,0,0,2,0
Lorena Abicht,2,2,0,0,2,0
Lorena Arenas,3,3,0,0,2,1
Lorena Bokesa,2,2,0,0,2,0
Lorena Brandl,1,1,0,0,1,0
Lorena Briceo,1,1,0,0,1,0
Lorena Corengia,1,1,0,0,1,0
Lorena Dorado,1,1,0,0,0,1
Lorena Garca,2,2,0,1,1,0
Lorena Guado,2,2,0,0,2,0
Lorena Martin,1,1,0,0,1,0
Lorena Molinos,1,1,0,0,1,0
Lorena Moreno,4,4,0,0,4,0
Lorena Valencia,2,2,0,0,2,0
Lorena Valverde,1,1,0,0,1,0
Lorena Wiebes,1,1,0,0,1,0
Lorena Z.,1,1,0,0,1,0
Lorena Zaffalon,2,2,0,0,2,0
Lorenne Geraldo,1,1,1,0,0,0
Lorents Jensen,2,2,0,0,2,0
Lorenz Hecher,1,1,0,0,1,0
Lorenz Spann,3,3,0,0,3,0
Lorenza Arnetoli,1,1,0,0,1,0
Lorenza Vigarani,8,8,0,0,8,0
Lorenzo Armenteros,2,2,0,0,1,1
Lorenzo Bacci,2,2,0,0,2,0
Lorenzo Barrera,1,1,0,0,1,0
Lorenzo Benati,2,2,0,0,2,0
Lorenzo Bernardi,3,3,0,0,2,1
Lorenzo Bertini,1,1,1,0,0,0
Lorenzo Bodini,1,1,0,0,1,0
Lorenzo Bosisio,1,1,1,0,0,0
Lorenzo Brown,1,1,0,0,1,0
Lorenzo Bruni,1,1,0,0,1,0
Lorenzo Calafiore,1,1,0,0,1,0
Lorenzo Cantarello,1,1,0,0,1,0
Lorenzo Carboncini,4,4,0,0,3,1
Lorenzo Castan,1,1,0,0,1,0
Lorenzo Collazo,1,1,0,0,0,1
Lorenzo Cordero,2,2,1,0,1,0
Lorenzo Cortez,2,2,0,0,2,0
Lorenzo Daz,3,3,0,0,3,0
Lorenzo Delgado,1,1,0,0,1,0
Lorenzo Esteban,1,1,0,0,1,0
Lorenzo Fernndez,1,1,0,1,0,0
Lorenzo Mangiante,2,2,0,2,0,0
Lorenzo Marsaglia,4,4,0,0,4,0
Lorenzo Marugo,2,2,0,0,2,0
Lorenzo Morigi,1,1,0,1,0,0
Lorenzo Murdock,1,1,0,0,1,0
Lorenzo Musetti,4,4,1,0,3,0
Lorenzo Orsini,1,1,0,0,1,0
Lorenzo Parra,2,2,0,0,2,0
Lorenzo Patta,2,2,0,1,1,0
Lorenzo Porzio,1,1,1,0,0,0
Lorenzo Povegliano,1,1,0,0,1,0
Lorenzo Reyes,1,1,0,0,1,0
Lorenzo Silvestri,1,1,0,0,1,0
Lorenzo Sonego,2,2,0,0,2,0
Lorenzo Sotomayor,1,1,0,0,1,0
Lorenzo Toledo,2,2,0,0,2,0
Lorenzo Vismara,6,6,0,0,6,0
Lorenzo Wright,2,2,0,1,1,0
Lorenzo Zazzeri,4,4,1,0,2,1
Loreto Carbonell,1,1,0,0,1,0
Loreto Snchez-marn,1,1,0,0,1,0
Loretta Barcenas,1,1,0,0,1,0
Loretta Dorman,2,2,0,1,1,0
Loretta Harrop,2,2,0,0,1,1
Loretta Mcneil,1,1,0,0,0,1
Lori (-ballard),12,12,0,0,12,0
Lori (-mack),3,3,0,3,0,0
Lori (-methorst),1,1,0,1,0,0
Lori (-vandersnick),2,2,1,0,1,0
Lori Chalupny,1,1,0,1,0,0
Lori Jones,2,2,0,0,2,0
Lori Mundt,1,1,0,0,1,0
Lori Roberts,1,1,0,0,1,0
Lori Sippel,1,1,0,0,1,0
Lori-Ann Muenzer,3,3,0,1,2,0
Loriana Kuka,2,2,0,0,2,0
Loris Bianchi,1,1,0,0,1,0
Loris Campana,1,1,0,1,0,0
Loris Facci,3,3,0,0,3,0
Loris Frasca,7,7,0,0,7,0
Loris Mularoni,1,1,0,0,1,0
Loris Paoluzzi,2,2,0,0,2,0
Lorna (-gilling),2,2,0,0,2,0
Lorna (-mitchell),3,3,0,0,3,0
Lorna (-price),1,1,0,0,1,0
Lorna Blake,4,4,0,0,4,0
Lorna Frampton,1,1,0,0,1,0
Lorna Griffin,2,2,0,0,2,0
Lorna Woodroffe,1,1,0,0,1,0
Lornah Kiplagat,3,3,0,0,3,0
Lornd Milassin,1,1,0,0,1,0
Lorne Atkinson,4,4,0,0,4,0
Lorne Bazolo,3,3,0,0,3,0
Lorne Bobkin,8,8,0,0,8,0
Lorne Currie,3,3,0,2,1,0
Lorne Leibel,1,1,0,0,1,0
Lorne Loomer,2,2,0,1,1,0
Lorne Wigginton,2,2,0,0,2,0
Lorraine (-davis),3,3,0,0,3,0
Lorraine (-fenton),2,2,0,0,0,2
Lorraine (-strain),2,2,0,0,2,0
Lorraine (-thurlow),4,4,0,2,0,2
Lorraine (wharton-),2,2,0,1,1,0
Lorraine -smith),4,4,1,0,3,0
Lorraine Fair,1,1,0,0,0,1
Lorraine Fernandes,1,1,0,0,1,0
Lorraine Hanson,1,1,0,0,1,0
Lorraine Martins,2,2,0,0,2,0
Lorraine Priest,1,1,0,0,1,0
Lorraine Shaw,2,2,0,0,2,0
Lorraine Ugen,2,2,0,0,2,0
Lorrane Oliveira,8,8,1,0,7,0
Lorys Bourelly,1,1,0,0,1,0
Lote Tuqiri,2,2,0,0,2,0
Lotfi Al-rouissi,1,1,0,0,1,0
Lotfi Ayed,2,2,0,0,2,0
Lotfi Baccouche,1,1,0,0,1,0
Lotfi Belkhir,1,1,0,0,1,0
Lotfi Joudi,1,1,0,0,1,0
Lotfi Khada,3,3,0,0,3,0
Lotfi Missaoui,1,1,0,0,1,0
Lotfi Rebai,1,1,0,0,1,0
Lotfi Slimane,1,1,0,0,1,0
Lotfi Turki,1,1,0,0,1,0
Lothar Albrich,1,1,0,0,1,0
Lothar Beckert,2,2,0,0,2,0
Lothar Claesges,2,2,0,1,1,0
Lothar Doering,1,1,0,1,0,0
Lothar Eich,2,2,0,0,2,0
Lothar Gericke,1,1,0,0,1,0
Lothar Hause,1,1,0,0,0,1
Lothar Heinrich,4,4,0,0,4,0
Lothar Jacobi,1,1,0,0,1,0
Lothar Knrzer,1,1,1,0,0,0
Lothar Koepsel,1,1,0,0,1,0
Lothar Krieg,1,1,1,0,0,0
Lothar Kurbjuweit,2,2,1,1,0,0
Lothar Lippert,2,2,0,0,2,0
Lothar Matthes,2,2,0,0,2,0
Lothar Metz,4,4,1,1,1,1
Lothar Milde,3,3,0,0,2,1
Lothar Noack,1,1,0,0,1,0
Lothar Schneider,2,2,0,0,2,0
Lothar Spiegelberg,1,1,0,0,1,0
Lothar Stber,1,1,0,0,0,1
Lothar Thoms,1,1,0,1,0,0
Lotta (-barnes),1,1,0,0,1,0
Lotta Harala,1,1,0,0,1,0
Lotta Kemppinen,1,1,0,0,1,0
Lotta Lepist,2,2,0,0,2,0
Lotte Bruil-jonathans,3,3,0,0,3,0
Lotte Friis,8,8,1,0,7,0
Lotte Kirskou,2,2,0,2,0,0
Lotte Kopecky,8,8,0,0,8,0
Lotte Miller,2,2,0,0,2,0
Lotte Olsen,2,2,0,0,2,0
Lotte Pedersen,1,1,0,0,1,0
Lotte Wubben-moy,1,1,0,0,1,0
Lotten Andersson,4,4,0,0,4,0
Lotuala N'dombassy,1,1,0,0,1,0
Lou Banach,1,1,0,1,0,0
Lou Berthomieu,1,1,0,0,1,0
Lou Jiahui,1,1,0,0,1,0
Lou Mcwilliams),1,1,0,0,1,0
Lou Noel,1,1,0,0,1,0
Lou Wie-ki,1,1,0,0,1,0
Lou Xia,2,2,0,0,2,0
Lou Yaping,2,2,0,0,2,0
Lou Yun,16,16,1,2,11,2
Loubna Benhadja,1,1,0,0,1,0
Loucif Hamani,1,1,0,0,1,0
Louie Hinchliffe,2,2,1,0,1,0
Louis (-lystoft),1,1,0,0,0,1
Louis (-meeuwissen),1,1,0,0,1,0
Louis (dormeuil-),3,3,0,1,2,0
Louis (lauria-),1,1,1,0,0,0
Louis Abell,2,2,0,2,0,0
Louis Allis,1,1,0,0,1,0
Louis Alquier-bouffard,1,1,0,0,1,0
Louis Andrieux,2,2,0,0,2,0
Louis Attrill,1,1,0,1,0,0
Louis Bach,1,1,0,0,0,1
Louis Baillon,1,1,0,1,0,0
Louis Baise,1,1,0,0,1,0
Louis Balbach,2,2,1,0,1,0
Louis Bastien,2,2,0,1,1,0
Louis Beeck,3,3,0,2,0,1
Louis Bernot,1,1,1,0,0,0
Louis Bessire,2,2,0,0,2,0
Louis Bezzina,1,1,0,0,1,0
Louis Bguet,1,1,0,0,0,1
Louis Biesbrouck,1,1,0,0,1,0
Louis Biljon,2,2,0,0,2,0
Louis Bonnier,2,2,0,0,2,0
Louis Bordo,7,7,0,0,7,0
Louis Botha,1,1,0,0,1,0
Louis Botinelly,1,1,0,0,1,0
Louis Bouchard,1,1,0,0,1,0
Louis Bourassa,1,1,0,0,1,0
Louis Brguet,1,1,1,0,0,0
Louis Briano,1,1,0,0,1,0
Louis Bs,2,2,0,0,2,0
Louis Calebout,1,1,0,0,1,0
Louis Carlier,1,1,0,0,1,0
Louis Cavalli,1,1,0,0,1,0
Louis Chaillot,3,3,1,1,0,1
Louis Champsavin,2,2,1,0,1,0
Louis Chapuis,1,1,0,0,1,0
Louis Chauvot,1,1,0,0,1,0
Louis Chevalier,2,2,0,0,2,0
Louis Christoffel,1,1,0,0,1,0
Louis Clarke,1,1,0,1,0,0
Louis Coiffic,1,1,0,0,1,0
Louis Colin,2,2,0,0,2,0
Louis Constant,1,1,0,0,1,0
Louis Corey,2,2,0,0,0,2
Louis Cornereau,1,1,0,0,1,0
Louis Coudurier,1,1,0,0,1,0
Louis Courron,1,1,0,0,1,0
Louis Croenen,5,5,0,0,5,0
Louis Culot,1,1,0,0,1,0
Louis Curtis,1,1,0,0,1,0
Louis Cutsem,2,2,0,0,2,0
Louis D'havrincourt,1,1,0,0,1,0
Louis D'heur,2,2,0,0,2,0
Louis Dannoux,1,1,0,0,1,0
Louis Darmanin,1,1,0,0,1,0
Louis Deken,1,1,0,0,1,0
Louis Dekker,1,1,0,0,1,0
Louis Delapchier,4,4,0,0,4,0
Louis Delattre,1,1,0,0,1,0
Louis Delaunoij,2,2,1,0,1,0
Louis Delcon,3,3,0,2,0,1
Louis Delescluse,1,1,0,0,1,0
Louis Deloy,2,2,0,0,2,0
Louis Denis-valverane,2,2,0,0,2,0
Louis Depire,1,1,0,0,1,0
Louis Desmet,1,1,0,0,1,0
Louis Devilli,2,2,0,0,2,0
Louis Devoti,1,1,0,0,1,0
Louis Diercxsens,2,2,1,0,1,0
Louis Dutfoy,2,2,0,0,1,1
Louis Falaise,8,8,0,3,5,0
Louis Fauconnier,1,1,0,0,1,0
Louis Finet,2,2,1,1,0,0
Louis Fleurac,4,4,1,0,3,0
Louis Franois,1,1,1,0,0,0
Louis Frommelt,1,1,0,0,1,0
Louis Gage,1,1,0,0,1,0
Louis Gailliard,1,1,0,0,1,0
Louis Gallice,1,1,0,0,1,0
Louis Gantois,2,2,1,0,1,0
Louis Garneau,1,1,0,0,1,0
Louis Garnoty,2,2,0,0,2,0
Louis Gauthier,1,1,0,0,1,0
Louis Gautier,1,1,0,0,1,0
Louis Geutjes,1,1,0,0,1,0
Louis Gheem,1,1,0,0,1,0
Louis Giani,1,1,0,0,1,0
Louis Gilavert,2,2,0,0,2,0
Louis Gilliron,1,1,0,0,1,0
Louis Giobergia,1,1,0,0,1,0
Louis Glineur,1,1,1,0,0,0
Louis Goff,4,4,1,0,3,0
Louis Gomis,1,1,0,0,1,0
Louis Gompers,1,1,0,0,1,0
Louis Goor,1,1,0,0,1,0
Louis Graville,1,1,0,0,1,0
Louis Gregory,1,1,0,0,1,0
Louis Gressier,1,1,0,0,0,1
Louis Grisius,2,2,0,0,2,0
Louis Grivel,3,3,0,0,3,0
Louis Hailey,2,2,0,0,2,0
Louis Handley,3,3,0,2,1,0
Louis Harant,2,2,0,1,1,0
Louis Hechenbleikner,5,5,0,0,5,0
Louis Hege,2,2,0,1,1,0
Louis Heim,1,1,1,0,0,0
Louis Henin,1,1,1,0,0,0
Louis Herten,1,1,0,0,1,0
Louis Hostin,3,3,0,2,0,1
Louis Ichard,1,1,0,0,1,0
Louis Iii,4,4,0,1,3,0
Louis Jani,2,2,0,0,2,0
Louis Jeandet,1,1,0,0,1,0
Louis Jobier,2,2,0,1,1,0
Louis Johnson,1,1,0,0,1,0
Louis Jr.,2,2,0,0,2,0
Louis Julie,1,1,1,0,0,0
Louis Kniep,3,3,0,0,3,0
Louis Kozma,1,1,0,0,1,0
Louis Kuehn,1,1,0,1,0,0
Louis Lafite,1,1,0,0,1,0
Louis Lapize,3,3,1,0,2,0
Louis Laufray,2,2,1,0,1,0
Louis Laverne,3,3,0,0,3,0
Louis Lavoie,1,1,0,0,1,0
Louis Lepre,3,3,0,0,3,0
Louis Lukanovich,1,1,0,0,1,0
Louis Lundgren,5,5,0,0,5,0
Louis Maes,1,1,0,0,1,0
Louis Marchant,1,1,0,0,1,0
Louis Marquevic,1,1,0,0,1,0
Louis Marquis,2,2,0,0,2,0
Louis Marson,1,1,1,0,0,0
Louis Martin,8,8,4,0,3,1
Louis Maxson,3,3,0,1,2,0
Louis Meintjes,1,1,0,0,1,0
Louis Menges,1,1,0,0,0,1
Louis Mermillod,1,1,0,0,1,0
Louis Midelair,1,1,0,0,1,0
Louis Monnier,1,1,0,0,1,0
Louis Moreau,2,2,1,0,1,0
Louis Mrignac,1,1,0,1,0,0
Louis Murat,3,3,0,1,2,0
Louis Ngrout,1,1,0,0,1,0
Louis Nkanza,2,2,0,0,2,0
Louis Noverraz,4,4,0,0,3,1
Louis Otten,1,1,1,0,0,0
Louis Pappe,1,1,0,0,1,0
Louis Parijs,2,2,0,0,2,0
Louis Pauly,1,1,0,0,1,0
Louis Pauteix,1,1,0,0,1,0
Louis Perck,4,4,0,2,0,2
Louis Percy,5,5,0,0,5,0
Louis Perre,2,2,0,0,1,1
Louis Pesch,2,2,0,0,2,0
Louis Pfenninger,2,2,0,0,2,0
Louis Philipps,2,2,0,0,2,0
Louis Pichon,1,1,0,0,1,0
Louis Piochelle,1,1,0,0,1,0
Louis Polonia,1,1,0,0,1,0
Louis Potheau,1,1,1,0,0,0
Louis Poupon,1,1,0,0,1,0
Louis Prvel,1,1,0,0,1,0
Louis Prvost,1,1,0,0,1,0
Louis Purcell,1,1,0,0,1,0
Louis Rabetrano,1,1,0,0,1,0
